Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number Street)",Postcode,Town/City,County/State,Country,Action,Scheme,Scheme ID
PizzaExpress,9421039629,5410188,5410188,25 Broad Street Wokingham Berkshire,RG40 1AU,Wokingham,,,A,avios,133
PizzaExpress,9421138454,5409842,5409842,163 Broadway Bexleyheath Kent,DA6 7ES,Bexleyheath,,,A,avios,133
PizzaExpress,N/A,5415898,5415898,85 Parkway Camden London,NW1 7PP,Camden,,,A,avios,133
PizzaExpress,9421191008,5402672,5402672,242-248 High Street Barney Hertfordshire,EN5 5TD,Barnet,,,A,avios,133
PizzaExpress,9421192022,5403498,5403498,350 High Street Berkhamsted Hertfordshire,HP4 1HT,Berkhamsted,,,A,avios,133
PizzaExpress,9421191644,5409859,5409859,235 High Street Dorking Surrey,RH4 1RT,Dorking,,,A,avios,133
PizzaExpress,9421191446,5409982,5409982,35 Earls Court Road Kensington London,W8 6ED,London,,,A,avios,133
PizzaExpress,9421187758,5410782,5410782,305 Upper Richmond Road West East Sheen London,SW14 8QS,East Sheen,,,A,avios,133
PizzaExpress,9421188038,5409867,5409867,8 South Street Epsom Surrey,KT18 7PF,Epsom,,,A,avios,133
PizzaExpress,9421188319,5410824,5410824,PE Harrow,,Harrow,,,A,avios,133
PizzaExpress,9421187667,5402680,5402680,335 Upper Street Islington London,N1 0PB,Islington,,,A,avios,133
PizzaExpress,9421187865,5410717,5410717,The White Cloth Hall Crown Street Leeds Yorkshire,LS2 7DA,Leeds,,,A,avios,133
PizzaExpress,9421187592,5413398,5413398,11/13 Victoria Street Liverpool Merseyside,L2 5QQ,Liverpool,,,A,avios,133
PizzaExpress,9421188145,5402698,5402698,281/283 High Road Loughton Essex,IG10 1AH,Loughton,,,A,avios,133
PizzaExpress,9421188376,5413943,5413943,PE Manchester 1 - South King St,,Manchester,,,A,avios,133
PizzaExpress,9421188947,5409768,5409768,92/94 The Broadway Mill Hill London,NW7 3TB,London,,,A,avios,133
PizzaExpress,9421188459,5413885,5413885,290 Muswell Hill Broadway Muswell Hill London,N10 2QR,Muswell Hill,,,A,avios,133
PizzaExpress,9421191099,5410147,5410147,56 St Mary+//0A4v/9AID//QCZ-s Butts Reading Berkshire,RG1 2LG,Reading,,,A,avios,133
PizzaExpress,9421191727,5402706,5402706,86 High Street Ruislip Middelesex,HA4 8LS,Ruislip,,,A,avios,133
PizzaExpress,9421191842,5402813,5402813,11/13 Verulam Road St Albans Hertfordshire,AL3 4DA,St Albans,,,A,avios,133
PizzaExpress,9421188590,5402714,5402714,7 Rockley Road Shepherds Bush London,W14 0DJ,Shepherds Bush,,,A,avios,133
PizzaExpress,9421191941,5410279,5410279,31/32 Oxford Street Southampton Hampshire,SO14 3DJ,Southampton,,,A,avios,133
PizzaExpress,9421188699,5413331,5413331,11 London Road Southend on Sea Essex,SS1 1PE,Southend On Sea,,,A,avios,133
